product_name,year,aliased_month,total_sales,MoM_growth,MoM_pct_growth
Tumbler,2020,Apr,106.08,106.08,0
Tumbler,2020,May,229.84,123.76,116.67
Tumbler,2020,Jun,229.84,0,0
Tumbler,2020,Jul,123.76,-106.08,-46.15
Tumbler,2020,Aug,123.76,0,0
Tumbler,2020,Sep,123.76,0,0
Tumbler,2020,Oct,318.24,194.48,157.14
Tumbler,2020,Nov,123.76,-194.48,-61.11
Tumbler,2020,Dec,265.2,141.44,114.29
Tumbler,2021,Jan,123.76,-141.44,-53.33
Tumbler,2021,Feb,123.76,0,0
Tumbler,2021,Mar,159.12,35.36,28.57
Tumbler,2021,Apr,159.12,0,0
Tumbler,2021,May,194.48,35.36,22.22
Tumbler,2021,Jun,247.52,53.04,27.27
Tumbler,2021,Jul,212.16,-35.36,-14.29
Tumbler,2021,Aug,282.88,70.72,33.33
Tumbler,2021,Sep,194.48,-88.4,-31.25
Tumbler,2021,Oct,229.84,35.36,18.18
Tumbler,2021,Nov,247.52,17.68,7.69
Tumbler,2021,Dec,212.16,-35.36,-14.29
Tumbler,2022,Jan,212.16,0,0
Tumbler,2022,Feb,176.8,-35.36,-16.67
Tumbler,2022,Mar,159.12,-17.68,-10
Tumbler,2022,Apr,212.16,53.04,33.33
Tumbler,2022,May,282.88,70.72,33.33
Tumbler,2022,Jun,212.16,-70.72,-25
Tumbler,2022,Jul,229.84,17.68,8.33
Tumbler,2022,Aug,88.4,-141.44,-61.54
Tumbler,2022,Sep,123.76,35.36,40
Tumbler,2022,Oct,141.44,17.68,14.29
Tumbler,2022,Nov,212.16,70.72,50
Tumbler,2022,Dec,212.16,0,0
Tumbler,2023,Jan,141.44,-70.72,-33.33
Tumbler,2023,Feb,159.12,17.68,12.5
Tumbler,2023,Mar,141.44,-17.68,-11.11
